site,transect,cell,period,latitude,longitude,date,observer,time_started,time_num,wind_conditions,temperature,light_conditions,rain_conditions,hab_category,CBWF,flora,playback,prev_observed,southern_whiteface,yellow-throated_miner,white-winged_fairywren
BB1,A,5,A5,-30.40740277,135.4825,11/06/2024,NRS,8:45:00,8.75,moderate,cool,sunny,none,Eremophila shrubland,0,,,Y,4,0,0
BB1,B,5,B5,-30.40942244,135.4825,11/06/2024,DAW,7:25:00,7.42,moderate,cool,sunny,none,Eremophila shrubland,0,,,Y,3,0,0
BB1,B,4,B4,-30.41147423,135.4825,11/06/2024,DAW,7:45:00,7.75,moderate,cool,sunny,none,Eremophila shrubland,0,,,Y,0,0,0
BB1,B,1,B1,-30.41346294,135.4826,11/06/2024,DAW,8:45:00,8.75,moderate,cool,sunny,none,Eremophila shrubland,0,,,Y,0,0,0
BB10,A,3,A3,-30.5658,135.4451,10/08/2024,PT,8:30:00,8.5,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,1
BB10,B,4,B4,-30.5679,135.4451,10/08/2024,PT,10:01:00,10.02,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,1
BB10,B,1,B1,-30.5698,135.4452,10/08/2024,PT,11:01:00,11.02,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,1,3
BB10,B,5,B5,-30.5718,135.4451,10/08/2024,PT,9:41:00,9.68,light,cool,sunny,none,Chenopod shrubland,6,,No,Y,0,0,0
BB10,A,4,A4,-30.5739,135.4452,10/08/2024,PT,8:50:00,8.83,moderate,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,3
BB10,A,5,A5,-30.5739,135.4497,10/08/2024,PT,9:13:00,9.22,moderate,cool,sunny,none,Chenopod shrubland,2,,Yes,Y,0,0,7
BB10,A,1,A1,-30.5719,135.4498,10/08/2024,PT,7:48:00,7.8,light,cool,sunny,none,Eremophila shrubland,2,Eremophila,Yes,Y,0,0,3
BB10,B,3,B3,-30.5699,135.4497,10/08/2024,PT,10:21:00,10.35,light,cool,sunny,none,Eremophila shrubland,0,,,Y,0,0,6
BB10,B,2,B2,-30.5678,135.4498,10/08/2024,PT,10:41:00,10.68,light,cool,sunny,none,Eremophila shrubland,0,,,Y,0,0,0
BB10,A,2,A2,-30.5659,135.4498,10/08/2024,PT,8:10:00,8.17,light,cool,sunny,none,Sparse Acacia papyrocarpa woodland,0,,,Y,0,0,4
BB2,A,5,A5,-30.409266,135.524591,11/06/2024,NRS,11:23:00,11.38,moderate,cool,partly cloudy,none,Chenopod shrubland,2,Acacia,Yes,Y,0,0,0
BB2,B,5,B5,-30.407535,135.524396,11/06/2024,DAW,10:00:00,10,moderate,cool,partly cloudy,none,Chenopod shrubland,4,Maireana,No,Y,0,0,0
BB2,A,1,A1,-30.40551,135.524367,11/06/2024,NRS,10:03:00,10.05,moderate,cool,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB2,A,2,A2,-30.403206,135.524051,11/06/2024,NRS,10:23:00,10.38,moderate,cool,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB2,A,3,A3,-30.401089,135.524411,11/06/2024,NRS,10:43:00,10.72,moderate,cool,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB2,A,4,A4,-30.31444059,135.537,11/06/2024,NRS,11:03:00,11.05,moderate,cool,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB2,B,4,B4,-30.31648326,135.5371,11/06/2024,DAW,10:20:00,10.33,moderate,cool,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB2,B,3,B3,-30.31846367,135.5371,11/06/2024,DAW,10:40:00,10.67,moderate,cool,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB2,B,2,B2,-30.3204914,135.5371,11/06/2024,DAW,11:00:00,11,moderate,cool,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB2,B,1,B1,-30.32251144,135.5371,11/06/2024,DAW,11:20:00,11.33,moderate,cool,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB3,A,3,A3,-30.356638,135.577769,12/06/2024,DAW,8:00:00,8,still,cool,partly cloudy,none,Acacia shrubland,0,,,Y,0,0,3
BB3,A,2,A2,-30.354228,135.577329,12/06/2024,DAW,8:20:00,8.33,still,cool,partly cloudy,none,Acacia shrubland,0,,,Y,0,0,0
BB3,A,1,A1,-30.35261,135.577796,12/06/2024,DAW,8:40:00,8.67,light,cool,partly cloudy,none,Acacia shrubland,2,,No,Y,0,0,6
BB3,B,2,B2,-30.350247,135.57762,12/06/2024,NRS,7:41:00,7.68,still,cool,partly cloudy,none,Acacia shrubland,0,,,Y,0,0,0
BB3,B,3,B3,-30.349078,135.577469,12/06/2024,NRS,8:03:00,8.05,still,cool,partly cloudy,none,Acacia shrubland,0,,,Y,0,0,1
BB3,B,1,B1,-30.1123565,135.8547,12/06/2024,NRS,7:19:00,7.32,still,cool,partly cloudy,none,Acacia shrubland,0,,,Y,0,0,0
BB3,B,5,B5,-30.11236776,135.857,12/06/2024,NRS,8:43:00,8.72,light,cool,partly cloudy,none,Acacia shrubland,6,,Yes,Y,0,0,4
BB3,B,4,B4,-30.11232653,135.8593,12/06/2024,NRS,8:23:00,8.38,still,cool,partly cloudy,none,Acacia shrubland,0,,,Y,0,0,5
BB3,A,5,A5,-30.11237353,135.8616,12/06/2024,DAW,7:15:00,7.25,still,cool,partly cloudy,none,Chenopod shrubland,4,Maireana,Yes,Y,0,0,4
BB3,A,4,A4,-30.11232474,135.864,12/06/2024,DAW,7:40:00,7.67,still,cool,partly cloudy,none,Low chenopod shrubland,0,,,Y,1,0,8
BB4,B,3,B3,-30.368571,135.635097,12/06/2024,NRS,13:41:00,13.68,light,cool,mostly cloudy,none,Chenopod shrubland,2,Acacia,No,Y,0,0,3
BB4,B,1,B1,-30.366196,135.635438,12/06/2024,NRS,13:01:00,13.02,light,cool,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB4,B,2,B2,-30.364357,135.635152,12/06/2024,NRS,13:21:00,13.35,light,cool,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB4,B,4,B4,-30.362379,135.634706,12/06/2024,NRS,14:02:00,14.03,light,cool,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,3
BB4,B,5,B5,-30.360243,135.634746,12/06/2024,NRS,14:26:00,14.43,light,cool,mostly cloudy,none,Low chenopod shrubland,1,Acacia,Yes,Y,0,0,0
BB4,A,1,A1,-30.31882658,135.7519,12/06/2024,DAW,14:15:00,14.25,light,cool,mostly cloudy,none,Low chenopod shrubland,0,,,Y,0,0,3
BB4,A,3,A3,-30.32083053,135.7518,12/06/2024,DAW,13:35:00,13.58,light,cool,mostly cloudy,none,Low chenopod shrubland,1,Maireana,No,Y,0,0,0
BB4,A,2,A2,-30.32286883,135.7518,12/06/2024,DAW,13:55:00,13.92,light,cool,mostly cloudy,none,Low chenopod shrubland,1,Senna,Yes,Y,0,0,5
BB4,A,5,A5,-30.32487968,135.7519,12/06/2024,DAW,12:55:00,12.92,light,cool,mostly cloudy,none,Low chenopod shrubland,0,,,Y,1,0,22
BB4,A,4,A4,-30.32690877,135.7519,12/06/2024,DAW,13:15:00,13.25,light,cool,mostly cloudy,none,Low chenopod shrubland,0,,,Y,0,0,0
BB5,A,5,A5,-30.322407,135.541902,12/06/2024,DAW,9:50:00,9.83,light,cool,partly cloudy,none,Acacia shrubland,0,,,Y,2,0,0
BB5,A,4,A4,-30.320868,135.541881,12/06/2024,DAW,10:10:00,10.17,light,cool,partly cloudy,none,Acacia shrubland,2,Acacia,No,Y,2,0,5
BB5,A,2,A2,-30.318374,135.541553,12/06/2024,DAW,10:50:00,10.83,light,cool,mostly cloudy,none,Acacia shrubland,4,Maireana,Yes,Y,0,0,0
BB5,A,3,A3,-30.316344,135.541623,12/06/2024,DAW,10:30:00,10.5,light,cool,partly cloudy,none,Acacia shrubland,0,,,Y,0,0,5
BB5,A,1,A1,-30.314392,135.541299,12/06/2024,DAW,11:10:00,11.17,light,cool,mostly cloudy,none,Acacia shrubland,0,,,Y,0,0,4
BB5,B,1,B1,-30.34859984,135.5729,12/06/2024,NRS,9:52:00,9.87,light,cool,partly cloudy,none,Acacia shrubland,0,,,Y,2,0,6
BB5,B,2,B2,-30.35060251,135.573,12/06/2024,NRS,10:12:00,10.2,light,cool,partly cloudy,none,Acacia shrubland,0,,,Y,0,0,0
BB5,B,5,B5,-30.35262769,135.573,12/06/2024,NRS,11:12:00,11.2,light,cool,mostly cloudy,none,Chenopod shrubland,2,Aristida,No,Y,0,0,0
BB5,B,3,B3,-30.35462243,135.573,12/06/2024,NRS,10:32:00,10.53,light,cool,partly cloudy,none,Chenopod shrubland,2,,Yes,Y,0,0,0
BB5,B,4,B4,-30.35672337,135.573,12/06/2024,NRS,10:52:00,10.87,light,cool,mostly cloudy,none,Low chenopod shrubland,0,,,Y,0,0,8
BB6,B,5,B5,-30.28625437,135.3924503,8/08/2024,DAW,17:20:00,17.33,light,cool,partly cloudy,none,Chenopod shrubland,1,Eremophila,No,Y,0,0,0
BB6,B,3,B3,-30.28422302,135.3924555,8/08/2024,DAW,16:40:00,16.67,light,warm,mostly cloudy,none,Chenopod shrubland,4,Maireana,Yes,Y,0,0,0
BB6,A,3,A3,-30.2821193,135.3923691,8/08/2024,SLG,16:43:00,16.72,light,warm,mostly cloudy,none,Chenopod shrubland,1,Maireana,Yes,Y,0,0,0
BB6,B,4,B4,-30.28016573,135.3924681,8/08/2024,DAW,17:00:00,17,light,cool,mostly cloudy,none,Chenopod shrubland,2,Maireana,Yes,Y,0,0,5
BB6,A,5,A5,-30.2782059,135.3924592,8/08/2024,SLG,17:23:00,17.38,light,warm,mostly cloudy,none,Chenopod shrubland,2,Maireana,No,Y,0,0,3
BB6,A,1,A1,-30.28624755,135.3970959,8/08/2024,SLG,16:03:00,16.05,light,warm,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB6,A,2,A2,-30.28423903,135.3971103,8/08/2024,SLG,16:23:00,16.38,light,warm,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,4
BB6,B,2,B2,-30.28222306,135.3970973,8/08/2024,DAW,16:20:00,16.33,light,warm,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB6,A,4,A4,-30.28020086,135.3970829,8/08/2024,SLG,17:03:00,17.05,light,warm,mostly cloudy,none,Chenopod shrubland,2,,Yes,Y,0,0,3
BB6,B,1,B1,-30.27818473,135.3970887,8/08/2024,DAW,16:00:00,16,light,warm,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB7,B,5,B5,-30.36298248,135.3896722,8/08/2024,DAW,10:54:00,10.9,very strong,cool,mostly cloudy,none,Chenopod shrubland,1,Maireana,No,Y,0,0,0
BB7,B,4,B4,-30.36091274,135.3897392,8/08/2024,DAW,10:34:00,10.57,very strong,cool,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,4
BB7,A,1,A1,-30.35874398,135.3897163,8/08/2024,SLG,9:42:00,9.7,strong,cool,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,3
BB7,A,3,A3,-30.35690808,135.3896742,8/08/2024,SLG,10:22:00,10.37,strong,cool,mostly cloudy,none,Chenopod shrubland,2,Maireana,Yes,Y,0,0,0
BB7,A,2,A2,-30.35476713,135.3896084,8/08/2024,SLG,10:02:00,10.03,strong,cool,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,4
BB7,B,1,B1,-30.36292247,135.3943288,8/08/2024,DAW,9:34:00,9.57,very strong,cool,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB7,B,2,B2,-30.36089613,135.3943379,8/08/2024,DAW,9:54:00,9.9,very strong,cool,mostly cloudy,none,Chenopod shrubland,0,,,Y,0,0,5
BB7,B,3,B3,-30.35888874,135.3943193,8/08/2024,DAW,10:14:00,10.23,very strong,cool,mostly cloudy,none,Chenopod shrubland,1,,No,Y,0,0,1
BB7,A,4,A4,-30.35688856,135.3943295,8/08/2024,SLG,10:42:00,10.7,strong,cool,mostly cloudy,none,Low chenopod shrubland,0,,,Y,0,0,0
BB7,A,5,A5,-30.35485691,135.3943136,8/08/2024,SLG,11:02:00,11.03,strong,cool,mostly cloudy,none,Low chenopod shrubland,0,,,Y,0,0,3
BB8,A,1,A1,-30.794225,135.398817,14/06/2024,DAW,8:45:00,8.75,moderate,cool,partly cloudy,none,Acacia & Melaleuca sparse woodland  sandy dunes,0,,,Y,0,0,4
BB8,B,5,B5,-30.792056,135.398983,14/06/2024,NRS,8:49:00,8.82,moderate,cool,sunny,none,Acacia shrubland,0,,,Y,0,0,1
BB8,B,3,B3,-30.790038,135.39868,14/06/2024,NRS,8:07:00,8.12,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,0
BB8,A,3,A3,-30.787897,135.398904,14/06/2024,DAW,8:05:00,8.08,moderate,cool,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB8,A,2,A2,-30.785959,135.398792,14/06/2024,DAW,8:25:00,8.42,moderate,cool,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
BB8,B,1,B1,-30.80609481,135.3757,14/06/2024,NRS,7:24:00,7.4,strong,cool,overcast,none,Chenopod shrubland,0,,,Y,0,0,0
BB8,B,2,B2,-30.80597884,135.378,14/06/2024,NRS,7:47:00,7.78,strong,cool,overcast,none,Chenopod shrubland,0,,,Y,0,0,0
BB8,B,4,B4,-30.80607002,135.3803,14/06/2024,NRS,8:29:00,8.48,moderate,cool,sunny,none,Chenopod shrubland,0,,,Y,2,0,13
BB8,A,4,A4,-30.80611396,135.3827,14/06/2024,DAW,7:45:00,7.75,moderate,cool,partly cloudy,none,Low chenopod shrubland,0,,,Y,2,0,6
BB8,A,5,A5,-30.80604086,135.385,14/06/2024,DAW,7:25:00,7.42,strong,cool,partly cloudy,none,Low chenopod shrubland,0,,,Y,0,0,5
BB9,B,3,B3,-30.802145,135.384785,14/06/2024,DAW,10:30:00,10.5,strong,cool,sunny,none,Acacia aneura woodland,0,,,Y,2,0,0
BB9,B,5,B5,-30.801939,135.382336,14/06/2024,DAW,9:50:00,9.83,moderate,cool,sunny,none,Acacia shrubland,0,,,Y,0,0,0
BB9,A,3,A3,-30.802311,135.379819,14/06/2024,NRS,10:24:00,10.4,strong,cool,sunny,none,Acacia shrubland,0,,,Y,2,0,0
BB9,B,1,B1,-30.801763,135.377694,14/06/2024,DAW,11:10:00,11.17,strong,cool,partly cloudy,none,Acacia shrubland,0,,,Y,0,0,0
BB9,B,4,B4,-30.802255,135.375395,14/06/2024,DAW,10:10:00,10.17,strong,cool,sunny,none,Acacia shrubland,0,,,Y,0,0,0
BB9,A,2,A2,-30.40118178,135.529,14/06/2024,NRS,10:04:00,10.07,strong,cool,sunny,none,Acacia shrubland,0,,,Y,8,0,8
BB9,A,4,A4,-30.40323146,135.5291,14/06/2024,NRS,10:44:00,10.73,strong,cool,sunny,none,Acacia shrubland,0,,,Y,2,2,0
BB9,A,5,A5,-30.40523664,135.5291,14/06/2024,NRS,11:05:00,11.08,strong,cool,sunny,none,Acacia shrubland,0,,,Y,2,0,0
BB9,A,1,A1,-30.40730026,135.5291,14/06/2024,NRS,9:44:00,9.73,moderate,cool,sunny,none,Eremophila shrubland,0,,,Y,0,0,0
BB9,B,2,B2,-30.40927542,135.5291,14/06/2024,DAW,10:50:00,10.83,strong,cool,partly cloudy,none,Sparse Acacia papyrocarpa woodland,0,,,Y,2,0,4
CA1,A,5,A5,-29.66834018,138.0257823,11/09/2024,DAW,11:55:00,11.92,light,warm,partly cloudy,none,Chenopod shrubland,0,,,N,0,0,0
CA1,B,2,B2,-29.67036726,138.0257131,11/09/2024,NRS,10:50:00,10.83,light,warm,sunny,none,Chenopod shrubland,0,,,N,0,0,2
CA1,B,4,B4,-29.67236794,138.0256634,11/09/2024,NRS,11:30:00,11.5,light,warm,sunny,none,Chenopod shrubland,0,,,N,0,0,0
CA1,B,5,B5,-29.67438545,138.0255958,11/09/2024,NRS,11:50:00,11.83,light,warm,sunny,none,Chenopod shrubland,0,,,N,0,0,7
CA1,A,4,A4,-29.67639629,138.0255351,11/09/2024,DAW,11:35:00,11.58,still,warm,partly cloudy,none,Chenopod shrubland,0,,,N,0,0,2
CA1,B,3,B3,-29.668512,138.030499,11/09/2024,NRS,11:10:00,11.17,still,warm,sunny,none,Chenopod shrubland,0,,,N,0,0,2
CA1,A,1,A1,-29.670503,138.030332,11/09/2024,DAW,10:35:00,10.58,light,warm,partly cloudy,none,Low chenopod shrubland,0,,,N,0,0,6
CA1,A,2,A2,-29.672545,138.030286,11/09/2024,DAW,10:55:00,10.92,still,warm,partly cloudy,none,Low chenopod shrubland,0,,,N,0,0,4
CA1,A,3,A3,-30,138.030175,11/09/2024,DAW,11:15:00,11.25,still,warm,partly cloudy,none,Low chenopod shrubland,0,,,N,0,0,7
CA1,B,1,B1,-29.676472,138.030073,11/09/2024,NRS,10:30:00,10.5,light,warm,sunny,none,Low chenopod shrubland,0,,,N,0,0,3
CA2,A,1,A1,-29.63801581,137.8800809,11/09/2024,DAW,7:18:00,7.3,still,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,3
CA2,A,3,A3,-29.63807149,137.8823928,11/09/2024,DAW,7:58:00,7.97,still,cool,mostly cloudy,none,Chenopod shrubland,0,,,N,0,0,0
CA2,A,5,A5,-29.63813628,137.8846884,11/09/2024,DAW,8:38:00,8.63,still,cool,mostly cloudy,none,Chenopod shrubland,0,,,N,0,0,0
CA2,B,1,B1,-29.63819175,137.8870008,11/09/2024,NRS,7:20:00,7.33,still,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,4
CA2,B,2,B2,-29.63823587,137.88929,11/09/2024,NRS,7:40:00,7.67,still,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,2
CA2,B,3,B3,-29.64202,137.879863,11/09/2024,NRS,8:00:00,8,still,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,5
CA2,B,4,B4,-29.641981,137.882238,11/09/2024,NRS,8:20:00,8.33,still,cool,mostly cloudy,none,Chenopod shrubland,0,,,N,0,0,2
CA2,B,5,B5,-29.642176,137.884544,11/09/2024,NRS,8:40:00,8.67,still,cool,mostly cloudy,none,Chenopod shrubland,0,,,N,0,0,3
CA2,A,2,A2,-29.642202,137.886858,11/09/2024,DAW,7:38:00,7.63,still,cool,mostly cloudy,none,Chenopod shrubland,0,,,N,0,0,0
CA2,A,4,A4,-29.642315,137.889127,11/09/2024,DAW,8:18:00,8.3,still,cool,mostly cloudy,none,Chenopod shrubland,0,,,N,0,0,8
CO1,A,1,A1,-30.96278446,135.7247841,7/08/2024,DAW,10:18:00,10.3,strong,cool,sunny,none,Chenopod shrubland,0,,,N,0,0,0
CO1,B,3,B3,-30.96075965,135.7247665,7/08/2024,SLG,11:00:00,11,moderate,cool,sunny,none,Chenopod shrubland,0,,,N,0,0,4
CO1,B,4,B4,-30.95874708,135.7247568,7/08/2024,SLG,11:20:00,11.33,moderate,cool,sunny,none,Chenopod shrubland,0,,,N,0,1,4
CO1,B,2,B2,-30.95673315,135.7247316,7/08/2024,SLG,10:40:00,10.67,strong,cool,sunny,none,Chenopod shrubland,0,,,N,0,0,0
CO1,B,1,B1,-30.95471755,135.7247157,7/08/2024,SLG,10:20:00,10.33,strong,cool,sunny,none,Chenopod shrubland,0,,,N,0,0,3
CO1,A,5,A5,-30.96265015,135.7293237,7/08/2024,DAW,11:38:00,11.63,moderate,cool,sunny,none,Eremophila shrubland,2,Eremophila,Yes,N,0,0,8
CO1,A,3,A3,-30.96066171,135.7294637,7/08/2024,DAW,10:58:00,10.97,moderate,cool,sunny,none,Eremophila shrubland,0,,,N,0,0,0
CO1,A,4,A4,-30.95875964,135.7293921,7/08/2024,DAW,11:18:00,11.3,moderate,cool,sunny,none,Eremophila shrubland,0,,,N,0,4,0
CO1,B,5,B5,-30.956649,135.7293133,7/08/2024,SLG,11:40:00,11.67,moderate,cool,sunny,none,Low chenopod shrubland,0,,,N,0,3,0
CO1,A,2,A2,-30.95471161,135.729409,7/08/2024,DAW,10:38:00,10.63,strong,cool,sunny,none,Low chenopod shrubland,0,,,N,0,0,3
CO2,B,3,B3,-30.92746586,135.4325262,7/08/2024,SLG,8:24:00,8.4,still,cool,sunny,none,Chenopod shrubland,1,Atriplex,Yes,Y,0,0,7
CO2,B,5,B5,-30.92545936,135.4325184,7/08/2024,SLG,9:04:00,9.07,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,2,0
CO2,B,4,B4,-30.92344663,135.4325378,7/08/2024,SLG,8:44:00,8.73,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,0
CO2,A,5,A5,-30.9214299,135.4324978,7/08/2024,DAW,9:03:00,9.05,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,3
CO2,B,1,B1,-30.91941526,135.4325075,7/08/2024,SLG,7:44:00,7.73,still,cool,sunny,none,Low chenopod shrubland,3,Maireana,No,Y,2,0,6
CO2,A,1,A1,-30.9274638,135.437282,7/08/2024,DAW,7:43:00,7.72,still,cool,sunny,none,Low chenopod shrubland,0,,,Y,0,0,4
CO2,B,2,B2,-30.92544737,135.4373374,7/08/2024,SLG,8:04:00,8.07,still,cool,sunny,none,Low chenopod shrubland,0,,,Y,0,0,0
CO2,A,4,A4,-30.92355909,135.437066,7/08/2024,DAW,8:43:00,8.72,light,cool,sunny,none,Low chenopod shrubland,0,,,Y,0,0,5
CO2,A,2,A2,-30.92151802,135.4371908,7/08/2024,DAW,8:03:00,8.05,still,cool,sunny,none,Low chenopod shrubland,0,,,Y,0,0,3
CO2,A,3,A3,-30.91934416,135.4371105,7/08/2024,DAW,8:23:00,8.38,still,cool,sunny,none,Low chenopod shrubland,0,,,Y,0,0,5
CP2,B,2,B2,-29.06850422,134.8604718,7/09/2024,NRS,11:07:00,11.12,light,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,0
CP2,A,4,A4,-29.06851145,134.8581721,7/09/2024,DAW,11:45:00,11.75,moderate,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,0
CP2,B,4,B4,-29.06850304,134.8558777,7/09/2024,NRS,11:47:00,11.78,light,cool,overcast,none,Chenopod shrubland,3,Maireana,Yes,N,0,0,2
CP2,B,1,B1,-29.06849844,134.8535836,7/09/2024,NRS,10:47:00,10.78,light,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,5
CP2,B,5,B5,-29.06849367,134.8512721,7/09/2024,NRS,12:07:00,12.12,light,cool,overcast,none,Chenopod shrubland,1,Acacia,No,N,0,0,3
CP2,B,3,B3,-29.072439,134.860331,7/09/2024,NRS,11:27:00,11.45,light,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,2
CP2,A,5,A5,-29.012471,134.858198,7/09/2024,DAW,12:05:00,12.08,moderate,cool,overcast,none,Chenopod shrubland,1,Maireana,No,N,0,0,2
CP2,A,1,A1,-29.072464,134.855837,7/09/2024,DAW,10:45:00,10.75,moderate,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,1
CP2,A,2,A2,-29.07248,134.853713,7/09/2024,DAW,11:05:00,11.08,moderate,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,1
CP2,A,3,A3,-29.072509,134.851376,7/09/2024,DAW,11:25:00,11.42,moderate,cool,overcast,none,Chenopod shrubland,0,,,N,0,0,3
IN1,B,1,B1,-29.57674477,135.0792738,6/08/2024,SLG,10:29:00,10.48,still,warm,sunny,none,Chenopod shrubland,4,Maireana,Yes,Y,0,0,2
IN1,A,1,A1,-29.57473192,135.0792823,6/08/2024,DAW,10:20:00,10.33,still,warm,sunny,none,Chenopod shrubland,0,,,Y,0,0,2
IN1,A,2,A2,-29.57272193,135.0792662,6/08/2024,DAW,10:40:00,10.67,still,warm,sunny,none,Chenopod shrubland,0,,,Y,0,0,5
IN1,A,5,A5,-29.57070121,135.0792654,6/08/2024,DAW,11:40:00,11.67,still,warm,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
IN1,B,2,B2,-29.56867515,135.0792734,6/08/2024,SLG,10:49:00,10.82,still,warm,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,0
IN1,B,3,B3,-29.57665376,135.0839435,6/08/2024,SLG,11:09:00,11.15,still,warm,partly cloudy,none,Chenopod shrubland,0,,,Y,0,0,2
IN1,B,4,B4,-29.57471658,135.0837599,6/08/2024,SLG,11:29:00,11.48,light,warm,partly cloudy,none,Eremophila shrubland,0,,,Y,0,0,0
IN1,B,5,B5,-29.57268632,135.083835,6/08/2024,SLG,11:49:00,11.82,light,warm,partly cloudy,none,Eremophila shrubland,0,,,Y,0,0,2
IN1,A,3,A3,-29.57073916,135.0839035,6/08/2024,DAW,11:00:00,11,still,warm,sunny,none,Low chenopod shrubland,0,,,Y,0,0,0
